Time:128Hz,Epoch,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,Event Id,Event Date,Event Duration
0.6328125000,2,3222.4357910156,3222.9487304688,3216.6667480469,3221.6667480469,3215.2563476563,3216.7949218750,3209.3588867188,3211.4101562500,3214.8718261719,3225.8974609375,3279.2307128906,4182.8203125000,3226.7949218750,3233.0769042969,,,
0.6406250000,2,3218.3332519531,3220.3845214844,3230.8974609375,3229.4870605469,3220.3845214844,3215.5129394531,3213.4614257813,3210.3845214844,3212.5642089844,3222.6923828125,3278.9743652344,4183.7177734375,3211.1538085938,3221.4101562500,,,
0.6484375000,2,3226.1538085938,3229.2307128906,3215.2563476563,3229.7436523438,3217.9487304688,3217.1794433594,3217.9487304688,3212.1794433594,3215.2563476563,3222.6923828125,3281.6667480469,4182.6923828125,3222.8205566406,3232.0512695313,,,
0.6562500000,2,3220.6411132813,3223.5898437500,3227.6923828125,3229.6154785156,3218.0769042969,3216.0256347656,3215.6411132813,3214.8718261719,3213.9743652344,3227.3076171875,3283.0769042969,4186.4101562500,3217.9487304688,3223.2050781250,,,
0.6640625000,2,3225.5129394531,3223.9743652344,3227.6923828125,3229.1025390625,3220.8974609375,3220.2563476563,3212.6923828125,3216.9230957031,3214.7436523438,3226.9230957031,3282.6923828125,4184.3588867188,3217.1794433594,3223.5898437500,,,
0.6718750000,2,3232.1794433594,3228.0769042969,3218.5898437500,3229.6154785156,3220.5129394531,3220.3845214844,3209.7436523438,3215.3845214844,3220.6411132813,3229.1025390625,3283.8461914063,4185.2563476563,3231.0256347656,3235.8974609375,,,
0.6796875000,2,3227.3076171875,3224.2307128906,3234.1025390625,3235.3845214844,3227.8205566406,3218.4614257813,3216.9230957031,3218.0769042969,3223.2050781250,3227.6923828125,3282.4357910156,4186.2822265625,3212.3076171875,3219.3588867188,,,
0.6875000000,2,3231.2819824219,3229.3588867188,3220.3845214844,3231.0256347656,3227.4357910156,3219.7436523438,3220.7692871094,3224.1025390625,3224.6154785156,3225.0000000000,3286.9230957031,4185.0000000000,3226.5385742188,3233.4614257813,,,
0.6953125000,2,3227.8205566406,3227.3076171875,3231.4101562500,3233.9743652344,3222.4357910156,3223.0769042969,3215.3845214844,3223.8461914063,3224.7436523438,3229.8718261719,3288.0769042969,4188.9741210938,3228.0769042969,3229.3588867188,,,
0.7031250000,2,3229.6154785156,3226.5385742188,3233.2050781250,3235.3845214844,3224.4870605469,3228.0769042969,3218.4614257813,3223.2050781250,3224.7436523438,3231.4101562500,3286.0256347656,4186.6665039063,3221.4101562500,3223.3332519531,,,
0.7109375000,2,3229.6154785156,3226.6667480469,3221.7949218750,3231.7949218750,3226.9230957031,3223.5898437500,3220.6411132813,3224.4870605469,3225.1281738281,3227.1794433594,3289.3588867188,4187.0512695313,3234.2307128906,3242.0512695313,,,
0.7187500000,2,3225.5129394531,3227.3076171875,3241.1538085938,3238.7180175781,3231.7949218750,3224.7436523438,3220.6411132813,3223.4614257813,3224.7436523438,3233.0769042969,3286.6667480469,4192.1796875000,3218.7180175781,3229.3588867188,,,
0.7265625000,2,3235.5129394531,3236.2819824219,3227.5642089844,3233.7180175781,3228.3332519531,3227.5642089844,3220.5129394531,3225.7692871094,3225.3845214844,3239.6154785156,3286.5385742188,4188.4614257813,3232.1794433594,3237.0512695313,,,
0.7343750000,2,3232.5642089844,3230.5129394531,3231.4101562500,3232.3076171875,3227.1794433594,3225.0000000000,3220.7692871094,3226.1538085938,3226.1538085938,3233.3332519531,3288.8461914063,4188.8461914063,3230.5129394531,3236.1538085938,,,
0.7421875000,2,3234.7436523438,3230.8974609375,3238.8461914063,3239.2307128906,3232.4357910156,3230.0000000000,3224.7436523438,3223.9743652344,3228.4614257813,3234.3588867188,3288.3332519531,4192.9487304688,3218.9743652344,3229.7436523438,,,
0.7500000000,3,3238.8461914063,3235.5129394531,3228.3332519531,3237.5642089844,3230.2563476563,3229.3588867188,3222.0512695313,3226.9230957031,3228.4614257813,3238.5898437500,3291.7949218750,4196.6665039063,3238.8461914063,3244.1025390625,,,
0.7578125000,3,3231.0256347656,3232.6923828125,3243.3332519531,3240.7692871094,3231.5385742188,3227.8205566406,3222.1794433594,3226.2819824219,3225.6411132813,3234.7436523438,3292.9487304688,4194.1025390625,3222.3076171875,3225.5129394531,,,
0.7656250000,3,3236.9230957031,3239.4870605469,3233.0769042969,3237.6923828125,3231.0256347656,3234.2307128906,3224.7436523438,3226.5385742188,3229.6154785156,3237.0512695313,3295.3845214844,4189.6152343750,3228.0769042969,3237.9487304688,,,
0.7734375000,3,3235.2563476563,3236.6667480469,3238.9743652344,3241.0256347656,3231.0256347656,3234.4870605469,3224.7436523438,3228.8461914063,3232.8205566406,3241.6667480469,3296.5385742188,4196.9228515625,3231.5385742188,3243.7180175781,,,
0.7812500000,3,3235.5129394531,3237.8205566406,3246.0256347656,3247.5642089844,3235.6411132813,3233.7180175781,3229.2307128906,3227.9487304688,3230.3845214844,3237.6923828125,3295.2563476563,4197.1796875000,3218.4614257813,3229.6154785156,,,
0.7890625000,3,3241.9230957031,3241.9230957031,3232.3076171875,3239.7436523438,3233.4614257813,3234.7436523438,3229.1025390625,3229.8718261719,3233.5898437500,3237.8205566406,3299.6154785156,4196.2822265625,3242.0512695313,3252.4357910156,,,
0.7968750000,3,3235.7692871094,3235.2563476563,3247.5642089844,3245.5129394531,3236.7949218750,3235.5129394531,3232.0512695313,3228.0769042969,3233.7180175781,3240.1281738281,3296.1538085938,4199.1025390625,3225.8974609375,3237.4357910156,,,
0.8046875000,3,3242.5642089844,3240.2563476563,3237.6923828125,3246.9230957031,3238.5898437500,3235.8974609375,3232.8205566406,3231.4101562500,3234.4870605469,3241.7949218750,3298.9743652344,4197.3076171875,3231.1538085938,3240.7692871094,,,
0.8125000000,3,3244.8718261719,3240.2563476563,3239.3588867188,3242.6923828125,3237.8205566406,3233.4614257813,3230.8974609375,3236.4101562500,3237.1794433594,3245.3845214844,3303.9743652344,4200.2563476563,3246.0256347656,3251.9230957031,,,
0.8203125000,3,3242.6923828125,3241.7949218750,3249.4870605469,3247.1794433594,3241.2819824219,3237.4357910156,3236.2819824219,3233.8461914063,3234.3588867188,3242.9487304688,3296.2819824219,4199.2309570313,3226.4101562500,3234.8718261719,,,
0.8281250000,3,3245.3845214844,3243.5898437500,3234.6154785156,3240.2563476563,3232.6923828125,3233.7180175781,3221.6667480469,3240.6411132813,3237.6923828125,3241.9230957031,3305.8974609375,4209.7436523438,3261.6667480469,3267.3076171875,,,
0.8359375000,3,3241.5385742188,3237.3076171875,3245.7692871094,3242.1794433594,3234.3588867188,3232.1794433594,3218.0769042969,3243.5898437500,3238.5898437500,3245.7692871094,3311.0256347656,4213.8461914063,3262.3076171875,3263.2050781250,,,
0.8437500000,3,3246.7949218750,3243.2050781250,3237.9487304688,3243.4614257813,3236.7949218750,3235.3845214844,3229.1025390625,3238.8461914063,3238.9743652344,3245.8974609375,3304.8718261719,4203.3334960938,3252.0512695313,3257.5642089844,,,
